time,annotation
0.04722222222222222,+
0.225,N
1.0027777777777778,N
1.7944444444444445,N
2.477777777777778,N
3.313888888888889,N
4.116666666666666,N
4.938888888888889,N
5.7555555555555555,N
6.486111111111111,N
7.344444444444444,N
8.16388888888889,N
8.863888888888889,N
9.777777777777779,N
10.641666666666667,N
11.41388888888889,N
12.23611111111111,N
13.027777777777779,N
13.819444444444445,N
14.541666666666666,N
15.475,N
16.366666666666667,N
17.20277777777778,N
18.008333333333333,N
18.822222222222223,N
19.530555555555555,N
20.363888888888887,N
21.136111111111113,N
21.927777777777777,N
22.77777777777778,N
23.552777777777777,N
24.33888888888889,N
25.119444444444444,N
25.816666666666666,N
26.677777777777777,N
27.544444444444444,N
28.322222222222223,N
29.208333333333332,N
29.95,N
30.755555555555556,N
31.544444444444444,N
32.33611111111111,N
33.077777777777776,N
34.0,N
34.852777777777774,N
35.611111111111114,N
36.455555555555556,N
37.236111111111114,N
37.980555555555554,N
38.78055555555556,N
39.58888888888889,N
40.419444444444444,N
41.294444444444444,N
42.047222222222224,N
42.84166666666667,N
43.63333333333333,N
44.33611111111111,N
45.205555555555556,N
46.03055555555556,N
46.830555555555556,N
47.63055555555555,N
48.37222222222222,N
49.22222222222222,N
49.98888888888889,N
50.708333333333336,N
51.59444444444444,N
52.391666666666666,N
53.205555555555556,N
53.99166666666667,N
54.75555555555555,N
55.55833333333333,N
56.33888888888889,N
57.06666666666667,N
57.99444444444445,N
58.80833333333333,N
59.605555555555554,N
60.37777777777778,N
61.230555555555554,N
61.958333333333336,N
62.736111111111114,N
63.641666666666666,N
64.45277777777778,N
65.20833333333333,N
66.07222222222222,N
66.89722222222223,N
67.63333333333334,N
68.425,N
69.225,N
70.05,N
70.93333333333334,N
71.68055555555556,N
72.57222222222222,N
73.33333333333333,N
74.1138888888889,N
74.96111111111111,N
75.77777777777777,N
76.67777777777778,N
77.48333333333333,N
78.30555555555556,N
79.04722222222222,N
79.91111111111111,N
80.68888888888888,N
81.50833333333334,N
82.4,N
83.20555555555555,N
83.97222222222223,N
84.84444444444445,N
85.625,N
86.35833333333333,N
87.21666666666667,N
88.03611111111111,N
88.83611111111111,N
89.65277777777777,N
90.46666666666667,N
91.18333333333334,N
92.01944444444445,N
92.75,N
93.60833333333333,N
94.42777777777778,N
95.25277777777778,N
96.08611111111111,N
96.93888888888888,N
97.75277777777778,N
98.56666666666666,N
99.44722222222222,N
100.33888888888889,N
101.20555555555555,N
102.06388888888888,N
102.93888888888888,N
103.66388888888889,N
104.53888888888889,N
105.44166666666666,N
106.33333333333333,N
107.23055555555555,N
108.09444444444445,N
108.73333333333333,~
108.94722222222222,N
109.78888888888889,N
110.60555555555555,N
111.49722222222222,N
112.23611111111111,~
112.4,N
113.25833333333334,N
113.99722222222222,N
114.89444444444445,N
115.54166666666667,~
115.73611111111111,N
116.50833333333334,N
116.93055555555556,~
117.41388888888889,N
118.26388888888889,N
119.06111111111112,N
119.93611111111112,N
120.74444444444444,N
121.50833333333334,N
122.34722222222223,N
123.16388888888889,N
