time,annotation
0.05277777777777778,+
0.16111111111111112,L
0.9611111111111111,L
1.8333333333333333,L
2.7083333333333335,L
3.5833333333333335,L
4.463888888888889,L
5.291666666666667,L
5.930555555555555,V
6.886111111111111,L
7.658333333333333,L
8.536111111111111,L
8.98611111111111,V
10.261111111111111,L
11.033333333333333,L
11.752777777777778,L
12.483333333333333,L
13.241666666666667,L
14.005555555555556,L
14.780555555555555,L
15.661111111111111,L
16.555555555555557,L
17.302777777777777,L
18.025,L
18.752777777777776,L
19.533333333333335,L
20.35,L
21.169444444444444,L
21.97222222222222,L
22.805555555555557,L
23.572222222222223,L
24.28611111111111,L
25.033333333333335,L
25.81388888888889,L
26.63888888888889,L
27.5,L
28.325,L
29.091666666666665,L
29.863888888888887,L
30.605555555555554,L
31.358333333333334,L
32.141666666666666,L
32.955555555555556,L
33.797222222222224,L
34.62222222222222,L
35.18333333333333,V
36.12222222222222,L
36.86944444444445,L
37.65555555555556,L
38.44166666666667,L
39.25,L
40.075,L
40.87222222222222,L
41.647222222222226,L
42.397222222222226,L
43.13333333333333,L
43.95,L
44.80555555555556,L
45.65,L
46.475,L
47.24444444444445,L
47.99444444444445,L
48.725,L
49.47222222222222,L
50.236111111111114,L
51.083333333333336,L
51.93055555555556,L
52.74444444444445,L
53.52777777777778,L
54.28333333333333,L
55.075,L
55.88055555555555,L
56.69166666666667,L
57.516666666666666,L
58.36944444444445,L
59.13333333333333,L
59.855555555555554,L
60.580555555555556,L
61.327777777777776,L
62.147222222222226,L
62.99722222222222,L
63.825,L
64.60833333333333,L
65.37222222222222,L
66.08888888888889,L
66.78888888888889,L
67.53333333333333,L
68.30833333333334,L
69.15833333333333,L
70.16944444444445,L
70.95555555555555,L
71.68611111111112,L
72.44444444444444,L
73.18611111111112,L
73.93611111111112,L
74.72222222222223,L
75.53333333333333,L
76.37777777777778,L
76.71944444444445,~
77.16111111111111,L
77.41388888888889,~
77.875,L
78.09166666666667,+
78.30833333333334,V
79.36944444444444,L
80.16111111111111,L
80.775,V
81.19722222222222,~
81.76666666666667,L
82.53888888888889,L
82.8,~
82.96111111111111,V
83.98333333333333,L
84.66111111111111,L
85.125,V
86.11944444444444,L
86.91944444444445,L
87.46111111111111,V
87.95833333333333,+
88.45555555555555,L
89.15,L
89.81111111111112,L
90.46388888888889,L
91.14722222222223,L
91.85555555555555,L
92.57777777777778,L
93.16111111111111,V
94.325,L
95.05,L
95.775,L
96.50277777777778,L
97.28055555555555,L
98.06666666666666,L
98.87222222222222,L
99.65833333333333,L
100.475,L
101.25277777777778,L
101.98611111111111,L
102.70555555555555,L
103.43611111111112,L
104.23055555555555,L
105.03333333333333,L
105.81666666666666,L
106.55555555555556,L
107.29722222222222,L
107.9888888888889,L
108.68055555555556,L
109.39166666666667,L
110.13888888888889,L
110.93333333333334,L
111.79444444444445,L
112.21666666666667,V
113.37222222222222,L
114.11944444444444,L
114.89444444444445,L
115.67777777777778,L
116.46388888888889,L
117.31666666666666,L
117.74444444444444,V
119.06944444444444,L
119.83055555555555,L
120.58055555555555,L
121.41388888888889,L
122.2388888888889,L
123.08888888888889,L
123.95277777777778,L
124.38333333333334,V
125.59444444444445,L
