time,annotation
0.025,+
0.1388888888888889,R
0.8666666666666667,V
2.3194444444444446,R
2.9944444444444445,V
4.411111111111111,R
5.058333333333334,V
6.5055555555555555,R
7.2027777777777775,V
8.641666666666667,R
9.325,V
10.713888888888889,R
11.366666666666667,V
12.880555555555556,R
13.580555555555556,V
15.025,R
15.688888888888888,V
17.11111111111111,R
17.8,V
19.275,R
19.975,V
21.38888888888889,R
22.04722222222222,V
23.43611111111111,R
24.15,V
25.59722222222222,R
26.28611111111111,V
27.636111111111113,R
28.322222222222223,V
29.691666666666666,R
30.386111111111113,V
31.805555555555557,R
32.49722222222222,V
33.88055555555555,R
34.544444444444444,V
35.93333333333333,R
36.666666666666664,V
37.077777777777776,V
38.102777777777774,L
38.522222222222226,+
38.797222222222224,V
39.236111111111114,V
39.61944444444445,V
40.03888888888889,+
40.33888888888889,L
40.736111111111114,[
40.80277777777778,+
41.37222222222222,!
41.71666666666667,!
42.05,!
42.38333333333333,!
42.74166666666667,!
43.108333333333334,!
43.45,!
43.775,!
44.18333333333333,!
44.486111111111114,!
44.827777777777776,!
45.172222222222224,!
45.50833333333333,!
45.82222222222222,!
46.141666666666666,!
46.416666666666664,!
46.727777777777774,!
47.044444444444444,!
47.375,!
47.827777777777776,!
48.18333333333333,!
48.63611111111111,!
48.93888888888889,!
49.25,!
49.602777777777774,!
49.93333333333333,!
50.36666666666667,!
50.71111111111111,!
50.97222222222222,]
51.1,+
52.291666666666664,R
52.97222222222222,V
54.38611111111111,R
54.763888888888886,[
54.888888888888886,+
55.1,!
55.455555555555556,!
55.769444444444446,!
56.06388888888889,!
56.38055555555555,!
56.672222222222224,!
57.00277777777778,!
57.333333333333336,!
57.63333333333333,!
57.919444444444444,!
58.227777777777774,!
58.58888888888889,!
58.84166666666667,!
59.208333333333336,!
59.53333333333333,!
60.022222222222226,!
60.36388888888889,]
60.63055555555555,+
61.43611111111111,R
61.83888888888889,+
62.175,V
62.53611111111111,V
62.958333333333336,V
63.26111111111111,+
63.56388888888889,L
64.37222222222222,L
65.28333333333333,L
65.96111111111111,V
67.15833333333333,R
68.15277777777777,L
69.07222222222222,L
69.95833333333333,L
70.82222222222222,L
71.18611111111112,+
71.55,V
72.67777777777778,L
73.33055555555555,V
74.47222222222223,R
75.15277777777777,V
75.71111111111111,+
76.27222222222223,R
77.18055555555556,L
77.8861111111111,V
78.28333333333333,V
79.76944444444445,R
80.45833333333333,V
80.875,V
81.81944444444444,R
82.90833333333333,L
83.57777777777778,V
84.90833333333333,R
85.64166666666667,V
86.83611111111111,R
87.81666666666666,L
88.73333333333333,L
89.67777777777778,L
90.65833333333333,L
91.625,L
92.60833333333333,L
93.34444444444445,V
94.43333333333334,R
95.40833333333333,L
96.41111111111111,L
97.43333333333334,L
98.38888888888889,L
99.33333333333333,L
100.29166666666667,L
101.21944444444445,L
102.2,L
103.18611111111112,L
104.16666666666667,L
105.13333333333334,L
106.06111111111112,L
106.96944444444445,L
107.96388888888889,L
108.98333333333333,L
109.93055555555556,L
110.9,L
111.84444444444445,L
112.775,L
113.75277777777778,L
114.725,L
115.70555555555555,L
116.66666666666667,L
117.58611111111111,L
118.5,L
119.40277777777777,L
120.37222222222222,L
121.34722222222223,L
122.27777777777777,L
123.20555555555555,L
124.13333333333334,L
125.025,L
125.96111111111111,L
126.90833333333333,L
127.84722222222223,L
128.58055555555555,V
129.66666666666666,L
130.2861111111111,V
131.40833333333333,R
132.2111111111111,V
132.63333333333333,V
133.38611111111112,L
133.70277777777778,+
134.01944444444445,V
135.19166666666666,R
135.79166666666666,V
137.03055555555557,R
137.6638888888889,V
138.95833333333334,R
139.61944444444444,V
140.9,R
141.5222222222222,V
142.73055555555555,R
143.34166666666667,V
144.69166666666666,R
145.33333333333334,V
146.625,R
147.25555555555556,V
